Away,Away PTS,Home,Home PTS,Home_or_away,Year,Winner
Detroit Pistons,122,Atlanta Hawks,140,Home,1986,Atlanta Hawks
San Antonio Spurs,88,Los Angeles Lakers,135,Home,1986,Los Angeles Lakers
Sacramento Kings,87,Houston Rockets,107,Home,1986,Houston Rockets
Utah Jazz,93,Dallas Mavericks,101,Home,1986,Dallas Mavericks
Portland Trail Blazers,126,Denver Nuggets,133,Home,1986,Denver Nuggets
New Jersey Nets,107,Milwaukee Bucks,119,Home,1986,Milwaukee Bucks
Washington Bullets,95,Philadelphia 76ers,94,Away,1986,Washington Bullets
Detroit Pistons,125,Atlanta Hawks,137,Home,1986,Atlanta Hawks
Sacramento Kings,103,Houston Rockets,111,Home,1986,Houston Rockets
San Antonio Spurs,94,Los Angeles Lakers,122,Home,1986,Los Angeles Lakers
Utah Jazz,106,Dallas Mavericks,113,Home,1986,Dallas Mavericks
Washington Bullets,97,Philadelphia 76ers,102,Home,1986,Philadelphia 76ers
New Jersey Nets,97,Milwaukee Bucks,111,Home,1986,Milwaukee Bucks
